--- PROJECTS ---
- ID: 699d1f2b4d7710a3ad23596c, Name: Industrial Shed – Phase II, Count: 1
- ID: 699d1f2b4d7710a3ad23596f, Name: Warehouse Complex – WH7, Count: undefined
- ID: 69ba3ad5b0939795cf6046e7, Name: maryland, Count: 7
- ID: 69bb9f35cb7055937287ba0e, Name: cleve, Count: 16
- ID: 69bd358ee076089d2d34a4ca, Name: sds, Count: 1

--- ALL TRANSMITTALS ---
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 1, New: 10, ID: 69ae4fe4de999bdba7905980
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 2, New: 2, ID: 69ae4fe5de999bdba79059cb
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 3, New: 1, ID: 69ae4fe6de999bdba79059e7
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 4, New: 4, ID: 69ae4fe7de999bdba7905a00
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 5, New: 1, ID: 69ae4fe8de999bdba7905a17
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 6, New: 3, ID: 69ae4fe8de999bdba7905a3a
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 7, New: 3, ID: 69ae4fe9de999bdba7905a5f
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 8, New: 1, ID: 69ae4ff3de999bdba7905b92
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 9, New: 0, ID: 69ae4ff4de999bdba7905bb7
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 10, New: 1, ID: 69ae4ff5de999bdba7905bca
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 11, New: 4, ID: 69ae4fffde999bdba7905c9c
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 12, New: 1, ID: 69ae500cde999bdba7905d88
- ProjectID: 69ae4fb9de999bdba790570b, Transmittal #: 13, New: 2, ID: 69ae5012de999bdba7905ddf
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 1, New: 1, ID: 69ae51ae23a789f1ac7f5ce9
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 2, New: 4, ID: 69ae51b123a789f1ac7f5da9
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 3, New: 2, ID: 69ae51b223a789f1ac7f5dc8
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 4, New: 15, ID: 69ae51b423a789f1ac7f5e0f
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 5, New: 1, ID: 69ae51bf23a789f1ac7f5f5f
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 6, New: 6, ID: 69ae51c023a789f1ac7f5f89
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 7, New: 6, ID: 69ae51c723a789f1ac7f6058
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 8, New: 1, ID: 69ae51d423a789f1ac7f6183
- ProjectID: 69ae517423a789f1ac7f5b33, Transmittal #: 9, New: 2, ID: 69ae51da23a789f1ac7f61dd
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 1, New: 3, ID: 69ae531f23a789f1ac7f64db
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 2, New: 1, ID: 69ae532023a789f1ac7f64fc
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 3, New: 1, ID: 69ae532123a789f1ac7f651f
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 4, New: 0, ID: 69ae532123a789f1ac7f6541
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 5, New: 2, ID: 69ae532223a789f1ac7f6573
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 6, New: 0, ID: 69ae532423a789f1ac7f6587
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 7, New: 2, ID: 69ae532423a789f1ac7f659c
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 8, New: 1, ID: 69ae532523a789f1ac7f65be
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 9, New: 1, ID: 69ae532523a789f1ac7f65ce
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 10, New: 4, ID: 69ae532623a789f1ac7f65e9
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 11, New: 0, ID: 69ae532823a789f1ac7f6644
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 12, New: 3, ID: 69ae533223a789f1ac7f673d
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 13, New: 0, ID: 69ae533323a789f1ac7f6759
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 14, New: 1, ID: 69ae533c23a789f1ac7f6857
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 15, New: 1, ID: 69ae534b23a789f1ac7f6962
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 16, New: 2, ID: 69ae535323a789f1ac7f69be
- ProjectID: 69ae530623a789f1ac7f62a5, Transmittal #: 17, New: 0, ID: 69ae535b23a789f1ac7f6a38
- ProjectID: 69ae546e23a789f1ac7f6aa1, Transmittal #: 1, New: 1, ID: 69ae548d23a789f1ac7f6ca2
- ProjectID: 69ae546e23a789f1ac7f6aa1, Transmittal #: 2, New: 0, ID: 69ae548e23a789f1ac7f6cf0
- ProjectID: 69ae546e23a789f1ac7f6aa1, Transmittal #: 3, New: 1, ID: 69ae548f23a789f1ac7f6cfc
- ProjectID: 69ae546e23a789f1ac7f6aa1, Transmittal #: 4, New: 1, ID: 69ae549123a789f1ac7f6d4f
